Title,Author_URL,Author_Name,App_Version,Rating,Review,Date,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,sentiment
Price,https://itunes.apple.com/us/reviews/id693986162,YolowRare,6.61.3,2,price too high,12/8/2020 16:08,0,0,0,0,0,0,0,0,0,0,0
Lyft 6<U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F><U+2B50><U+FE0F>,https://itunes.apple.com/us/reviews/id1236627023,JazziJPayne,6.61.3,5,"brad was amazing and on time very professional and friendly clean car very clean i like lyft because of the safety measure in place when brad was in his way it displayed a picture of him make and model of vehicle and tag
lyft is a absolutely amazing",12/8/2020 14:16,0,2,0,0,2,0,0,4,0,4,4.5
It?s great for busy ppl,https://itunes.apple.com/us/reviews/id1233819569,Krissyrich,6.61.3,5,maan hold up i have met some people from all over the world from london to los angels,12/8/2020 13:27,0,0,0,0,0,0,0,0,0,0,0
Lyft,https://itunes.apple.com/us/reviews/id980964398,veryion,6.61.3,5,very reliable,12/8/2020 12:38,0,0,0,0,0,0,0,1,0,1,0.5
Grateful To You All!,https://itunes.apple.com/us/reviews/id310694632,JayMommyHuerta23,6.61.3,5,"drivers have always provided me with great services thank you all

jasmine huerta",12/8/2020 7:59,0,0,0,0,0,0,0,0,0,0,1
To all my kind Lyft drivers,https://itunes.apple.com/us/reviews/id1181707687,firstnameischristy,6.61.3,5,ive not had one negative riding experience in all myoryears utilizing this service every ride ive taken has additionally been on time if not early to arrive for pick up,12/8/2020 5:46,0,2,0,0,0,1,0,0,1,1,-0.75
Great Job !!,https://itunes.apple.com/us/reviews/id1172779090,Dede24,6.61.3,5,made it to work on time thanks to lyft,12/8/2020 3:05,0,1,0,0,0,0,0,0,0,0,0.85
Trash,https://itunes.apple.com/us/reviews/id750644531,stupid1012,6.61.3,1,lyft is trash use any other ride sharing companies then lyft would negative stars if i could,12/8/2020 2:58,0,0,1,0,0,2,0,0,2,0,-1.25
DOESN?T ALLOW CASH PAYMENT,https://itunes.apple.com/us/reviews/id906258917,Sir Rami,6.61.3,1,what kind of taxi service doesnt allow cash,12/8/2020 0:29,1,1,0,1,2,0,0,2,0,2,1.15
Great,https://itunes.apple.com/us/reviews/id1226712056,courtsp8,6.61.3,5,ive used lyft for about a week now and all the drivers have been very nice i really enjoy using lyft,12/7/2020 23:28,0,1,0,0,1,0,0,1,0,1,1.25
Rider,https://itunes.apple.com/us/reviews/id18244233,Froese907,6.61.3,5,love this app is so easy to use,12/7/2020 21:51,0,0,0,0,1,0,0,0,0,1,1.55
Best Driver ever!,https://itunes.apple.com/us/reviews/id1076663845,Jemdac,6.61.3,5,i am a single mom with no carmy driver was originally going to drop me off at the store then that wouldve meant that i had to call another driver to pick me up and that meant i had to wait for another driver and in my area it takes a really long time for drivers to come or at least even to find a driver in my area so i asked my driver if they would wait for meand that it would be worth it this driver lets just call her sue she went above and beyond to help me and my children and she waited she waited longer than she really should have she didnt miss a ride because i told her if a ride comes up to take it but i gave her a really really nice tip because it took me some extra time and i hope every driver is like this especially with a single moms that are by ourselves with car seats and babies and so thank you to aka sue for being such a good person this goes to show that if you treat your drivers good and youre nice you get that in return pay it forward,12/7/2020 20:50,2,8,1,1,4,2,3,5,3,9,4.15
William was Great,https://itunes.apple.com/us/reviews/id245853075,JakeIsMyBestBuddy,6.61.3,5,thank you william,12/7/2020 20:01,0,0,0,0,0,0,0,0,0,0,0.5
